Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Rwanda,RWA,1984,Arable land (% of land area),AG.LND.ARBL.ZS,33.2387515200649
Rwanda,RWA,1983,Arable land (% of land area),AG.LND.ARBL.ZS,32.6307255776246
Rwanda,RWA,1982,Arable land (% of land area),AG.LND.ARBL.ZS,32.0226996351844
Rwanda,RWA,1981,Arable land (% of land area),AG.LND.ARBL.ZS,31.4146736927442
Rwanda,RWA,1980,Arable land (% of land area),AG.LND.ARBL.ZS,30.806647750304
Rwanda,RWA,1979,Arable land (% of land area),AG.LND.ARBL.ZS,30.1986218078638
Rwanda,RWA,1978,Arable land (% of land area),AG.LND.ARBL.ZS,29.5905958654236
Rwanda,RWA,1977,Arable land (% of land area),AG.LND.ARBL.ZS,28.9825699229834
Rwanda,RWA,1976,Arable land (% of land area),AG.LND.ARBL.ZS,28.3745439805432
Rwanda,RWA,1975,Arable land (% of land area),AG.LND.ARBL.ZS,27.8070531009323
Rwanda,RWA,1974,Arable land (% of land area),AG.LND.ARBL.ZS,27.077421970004
Rwanda,RWA,1973,Arable land (% of land area),AG.LND.ARBL.ZS,24.7263883259019
Rwanda,RWA,1972,Arable land (% of land area),AG.LND.ARBL.ZS,25.1722740170247
Rwanda,RWA,1971,Arable land (% of land area),AG.LND.ARBL.ZS,22.6996351844345
Rwanda,RWA,1970,Arable land (% of land area),AG.LND.ARBL.ZS,21.1593027969193
Rwanda,RWA,1969,Arable land (% of land area),AG.LND.ARBL.ZS,21.4025131738954
Rwanda,RWA,1968,Arable land (% of land area),AG.LND.ARBL.ZS,21.11876773409
Rwanda,RWA,1967,Arable land (% of land area),AG.LND.ARBL.ZS,20.8755573571139
Rwanda,RWA,1966,Arable land (% of land area),AG.LND.ARBL.ZS,20.6728820429672
Rwanda,RWA,1965,Arable land (% of land area),AG.LND.ARBL.ZS,20.4702067288204
Rwanda,RWA,1964,Arable land (% of land area),AG.LND.ARBL.ZS,20.2675314146737
Rwanda,RWA,1963,Arable land (% of land area),AG.LND.ARBL.ZS,20.064856100527
Rwanda,RWA,1962,Arable land (% of land area),AG.LND.ARBL.ZS,19.8621807863802
Rwanda,RWA,1961,Arable land (% of land area),AG.LND.ARBL.ZS,19.6595054722335
Rwanda,RWA,2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0
Rwanda,RWA,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0
Rwanda,RWA,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,0
Rwanda,RWA,2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0
Rwanda,RWA,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0
Rwanda,RWA,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0
Rwanda,RWA,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
