REF_AREA,INDICATOR,SEX,AGE,AGE_AT_BIRTH,WEALTH_QUINTILE,RESIDENCE,MOTHER_EDUCATION,DATA_SOURCE,UNIT_MULTIPLIER,UNIT_MEASURE,SERIES_FOOTNOTE,SUB_SECTOR,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,DATA_SOURCE_PRIORITY,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,UNWGTD_SAMPL_SIZE,OBS_FOOTNOTE,SOURCE_LINK,TIME_PERIOD_METHOD,COVERAGE_TIME
ETH,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2912,0,PCNT,,FAMILY_PLANNING,2022,54,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
MHL,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2007,39.8,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
BGD,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2022,72.2,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
AZE,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2911,0,PCNT,,FAMILY_PLANNING,2006,13.3,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
BTN,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_293,0,PCNT,,FAMILY_PLANNING,2010,84.6,,1,RP,F,,,,,,,EOF,
ECU,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2909,0,PCNT,,FAMILY_PLANNING,2019,80.5,,1,RP,F,,,,,,"United Nations Department of Economic and Social Affairs, Population Division (2024). World Contraceptive Use 2024",EOF,
MRT,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1436,0,PCNT,,FAMILY_PLANNING,2015,30.4,,1,RP,F,,,,,,,EOF,
MRT,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1434,0,PCNT,,FAMILY_PLANNING,2011,23.8,,1,RP,F,,,,,,,EOF,
MRT,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2687,0,PCNT,,FAMILY_PLANNING,2019,26.9,,1,RP,F,,,,,,,EOF,
UZB,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_2708,0,PCNT,,FAMILY_PLANNING,2021,81,,1,RP,F,,,,,,,EOF,
KGZ,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1243,0,PCNT,,FAMILY_PLANNING,2014,66.2,,1,RP,F,,,,,,,EOF,
KGZ,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1245,0,PCNT,,FAMILY_PLANNING,2018,64.6,,1,RP,F,,,,,,,EOF,
KGZ,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_1241,0,PCNT,,FAMILY_PLANNING,2012,62.1,,1,RP,F,,,,,,,EOF,
UNSDG_LDC,MNCH_DEMAND_FP,_T,Y15T19,_T,_T,_T,_T,MNCH_SRC_2918,0,PCNT,,FAMILY_PLANNING,2023,54.3,,1,RA,F,,,,,,,EOF,
ECU,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_767,0,PCNT,,FAMILY_PLANNING,2018,82.5,,1,RP,F,,,,,,,EOF,
ECU,MNCH_DEMAND_FP,_T,Y15T49,_T,_T,_T,_T,MNCH_SRC_762,0,PCNT,,FAMILY_PLANNING,2004,73.3,,1,RP,F,,,,,,,EOF,
